"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.540145083E0,2.409988403E-2,1.531315613E-1,9.746382294E0,9.747614985E0
1.550186083E0,2.769241333E-2,1.546284485E-1,9.743538208E0,9.744804443E0
1.560226083E0,2.739303589E-2,1.516346741E-1,9.738598480E0,9.739817442E0
1.570266083E0,3.293151855E-2,1.594184875E-1,9.738299103E0,9.739659550E0
1.580306083E0,2.649490356E-2,1.559756470E-1,9.748178558E0,9.749462323E0
1.590346083E0,3.637435913E-2,1.561253357E-1,9.744586029E0,9.745904529E0
1.600387083E0,2.260299683E-2,1.481918335E-1,9.742191010E0,9.743344261E0
1.610427083E0,2.350112915E-2,1.481918335E-1,9.750274200E0,9.751428619E0
1.620467083E0,2.499801636E-2,1.553768921E-1,9.751322021E0,9.752591863E0
1.630507083E0,2.799179077E-2,1.544787598E-1,9.751322021E0,9.752585729E0
1.640548083E0,2.619552612E-2,1.463955688E-1,9.746681671E0,9.747816241E0
1.650588083E0,2.814147949E-2,1.547781372E-1,9.752220154E0,9.753488922E0
1.660628083E0,2.409988403E-2,1.508862305E-1,9.744286652E0,9.745484586E0
1.670668083E0,2.170486450E-2,1.565744019E-1,9.745184784E0,9.746466699E0
1.680708083E0,2.230361938E-2,1.532812500E-1,9.751621399E0,9.752851506E0
1.690749083E0,3.008743286E-2,1.495390320E-1,9.745933228E0,9.747126841E0
1.700789083E0,2.320175171E-2,1.543290710E-1,9.754465485E0,9.755713847E0
1.710829083E0,3.098556519E-2,1.478924561E-1,9.748927002E0,9.750097947E0
1.720869083E0,3.442840576E-2,1.490899658E-1,9.741143188E0,9.742344880E0
1.730910083E0,2.784210205E-2,1.478924561E-1,9.738598480E0,9.739761174E0
1.740950083E0,2.215393066E-2,1.522334290E-1,9.748927002E0,9.750140691E0
1.750990083E0,3.098556519E-2,1.580712891E-1,9.742340698E0,9.743672250E0
1.761030083E0,2.439926147E-2,1.546284485E-1,9.740544434E0,9.741802253E0
1.771070083E0,3.248245239E-2,1.544787598E-1,9.741143188E0,9.742422153E0
1.781111083E0,2.918930054E-2,1.483415222E-1,9.744136963E0,9.745309763E0
1.791151083E0,1.975891113E-2,1.568737793E-1,9.742789764E0,9.744072670E0
1.801191083E0,2.065704346E-2,1.523831177E-1,9.743089142E0,9.744302610E0
1.811231083E0,2.484832764E-2,1.562750244E-1,9.745035095E0,9.746319733E0
1.821271083E0,2.694396973E-2,1.525328064E-1,9.746382294E0,9.747613044E0
1.831312083E0,2.559677124E-2,1.517843628E-1,9.750723267E0,9.751938162E0
1.841352083E0,1.960922241E-2,1.492396545E-1,9.741442566E0,9.742605414E0
1.851392083E0,2.724334717E-2,1.547781372E-1,9.746831360E0,9.748098278E0
1.861432083E0,3.008743286E-2,1.510359192E-1,9.746082916E0,9.747299591E0
1.871473083E0,2.844085693E-2,1.507365417E-1,9.738748169E0,9.739956175E0
1.881513083E0,2.664459229E-2,1.550775146E-1,9.743837585E0,9.745107996E0
1.891553083E0,2.634521484E-2,1.505868530E-1,9.741592255E0,9.742791701E0
1.901593083E0,2.918930054E-2,1.549278259E-1,9.744286652E0,9.745561913E0
1.911633083E0,2.020797729E-2,1.535806274E-1,9.745783539E0,9.747014525E0
1.921674083E0,2.365081787E-2,1.457968140E-1,9.752070465E0,9.753188936E0
1.931714083E0,2.844085693E-2,1.547781372E-1,9.744735718E0,9.746006329E0
1.941754083E0,2.784210205E-2,1.517843628E-1,9.741292877E0,9.742515106E0
1.951794083E0,1.990859985E-2,1.508862305E-1,9.743238831E0,9.744427429E0
1.961835083E0,2.634521484E-2,1.499880981E-1,9.737999725E0,9.739190374E0
1.971875083E0,2.769241333E-2,1.565744019E-1,9.737101593E0,9.738399758E0
1.981915083E0,2.065704346E-2,1.522334290E-1,9.747130737E0,9.748341364E0
1.991955083E0,3.263214111E-2,1.517843628E-1,9.736652527E0,9.737890212E0
2.001995750E0,3.472778320E-2,1.559756470E-1,9.743538208E0,9.744848446E0
2.012036750E0,3.068618774E-2,1.534309387E-1,9.756561127E0,9.757815725E0
2.022076750E0,2.559677124E-2,1.535806274E-1,9.746831360E0,9.748074875E0
2.032116750E0,2.095642090E-2,1.529818726E-1,9.746831360E0,9.748054379E0
2.042156750E0,3.248245239E-2,1.508862305E-1,9.739047546E0,9.740270472E0
2.052197750E0,2.050735474E-2,1.481918335E-1,9.739496613E0,9.740645545E0
2.062237750E0,2.215393066E-2,1.573228455E-1,9.747430115E0,9.748724794E0
2.072277750E0,2.559677124E-2,1.567240906E-1,9.745633850E0,9.746927556E0
2.082317750E0,1.796264648E-2,1.520837402E-1,9.744586029E0,9.745789296E0
2.092357750E0,2.305206299E-2,1.498384094E-1,9.744885406E0,9.746064566E0
2.102398750E0,3.278182983E-2,1.582209778E-1,9.750573578E0,9.751912306E0
2.112438750E0,2.365081787E-2,1.561253357E-1,9.742640076E0,9.743919649E0
2.122478750E0,3.457809448E-2,1.510359192E-1,9.741143188E0,9.742375383E0
2.132518750E0,3.038681030E-2,1.573228455E-1,9.746531982E0,9.747848969E0
2.142558750E0,2.784210205E-2,1.502874756E-1,9.743837585E0,9.745036295E0
2.152599750E0,2.185455322E-2,1.541793823E-1,9.748927002E0,9.750170593E0
2.162639750E0,2.095642090E-2,1.419049072E-1,9.739346924E0,9.740403209E0
2.172679750E0,3.248245239E-2,1.417552185E-1,9.739496613E0,9.740582319E0
2.182719750E0,3.427871704E-2,1.510359192E-1,9.743987274E0,9.745218052E0
2.192760750E0,3.083587646E-2,1.582209778E-1,9.757608948E0,9.758940368E0
2.202800750E0,3.218307495E-2,1.544787598E-1,9.743987274E0,9.745264873E0
2.212840750E0,2.829116821E-2,1.622625732E-1,9.743238831E0,9.744630955E0
2.222880750E0,2.649490356E-2,1.534309387E-1,9.749226379E0,9.750469631E0
2.232920750E0,2.769241333E-2,1.459465027E-1,9.746981049E0,9.748112987E0
2.242961750E0,2.769241333E-2,1.541793823E-1,9.739795990E0,9.741055594E0
2.253001750E0,2.918930054E-2,1.550775146E-1,9.742939453E0,9.744217272E0
2.263041750E0,2.844085693E-2,1.531315613E-1,9.740843811E0,9.742088909E0
2.273081750E0,1.706451416E-2,1.543290710E-1,9.744735718E0,9.745972649E0
2.283122750E0,2.320175171E-2,1.537303162E-1,9.748328247E0,9.749567936E0
2.293162750E0,3.412902832E-2,1.487905884E-1,9.739496613E0,9.740692876E0
